date,name,nationality,sex,category,class
1921-07-03,"Godfred Hansen",DNK,m,mil,5
1921-07-03,"Christian Frederik Michael Knud",DNK,m,rul,2
1921-07-03,"A.H. Vedel",DNK,m,mil,5
1921-07-03,"Auguste Alexandrine",DNK,f,rul,2
1921-07-03,"Jón Magnússon",ISL,m,pol,2
1921-07-03,"Svenn Poulsen",DNK,m,art,5
1921-07-03,"Antonius Michael Napol. Krieger",DNK,m,cnc,2
1921-07-03,"Poul Bredo Grandjean",DNK,m,gov,5
1921-07-03,"Þorsteinn Metúsalem Jónsson",ISL,m,edu,5
1921-07-03,"C.J.E. Juel",DNK,m,cnc,4
1921-07-03,"Hans Christian Tegner",DNK,m,edu,5
1921-07-03,"Johannes Erhardt Böggild",DNK,m,dip,4
1921-07-03,"Einar Arnórsson",ISL,m,edu,4
1921-07-03,"Jens Christian Christensen",DNK,m,pol,2
1921-07-03,"Carl Vilhelm Edvard Carstensen",DNK,m,mil,4
1921-07-03,"Frederik Cold",DNK,m,mil,4
1921-07-03,"Vilh. Julius Alexander Harttung",DNK,m,mil,4
1921-07-03,"Herbert Stanley Sander",DNK,m,mil,5
1921-07-03,"Oluf Christian Kragh",DNK,m,edu,4
1921-07-03,"Bjarni Jónsson",ISL,m,edu,4
1921-07-03,"Sveinn Björnsson",ISL,m,dip,4
1921-07-03,"Alfred Andreas Riisager",DNK,m,edu,5
1921-07-03,"P.O.A. Andersen",DNK,m,gov,4
1921-07-03,"Louis Dornonville de la Cour",FRA,m,mil,5
1921-07-03,"Nils Thomasius Neergaard",DNK,m,pol,2
1921-07-03,"Franz Michael Carl V.G Frederik",DNK,m,rul,2
1921-07-03,"Carl Matthias Appeldorn",DNK,m,cnc,4
1921-07-03,"Alfred Carl Beck",DNK,m,cnc,5
1921-07-03,"Niels Christensen Monberg",DNK,m,pol,4
1921-07-03,"Christian hinn tíundi",DNK,m,rul,1
1921-07-03,"Jón Hjaltalín Sveinbjörnsson",ISL,m,gov,4
1921-07-03,"Jón Krabbe",ISL,m,dip,4
1921-07-03,"Charlotte Christine Sehested",DNK,f,cnc,5
1921-07-03,"Jóhannes Jóhannesson",ISL,m,gov,4
1921-07-03,"Harald de Jonquieres Grut",DNK,m,mil,5
1921-07-03,"Christian Frederik Gjernals",DNK,m,mil,4
1921-09-19,"Harald Roger Scavenius",DNK,m,pol,2
1921-10-31,"Louise Josephine Eugenie",DNK,f,rul,2
1921-12-01,"Magnús Sigurðsson",ISL,m,com,5
1921-12-01,"Magnús Kristjánsson",ISL,m,pol,5
1921-12-01,"Sigurður Pjetursson",ISL,m,com,5
1921-12-01,"Valdimar O. Briem",ISL,m,cnc,5
1921-12-01,"Björn Sigurðsson",ISL,m,com,5
1921-12-01,"Hjalti Jónsson",ISL,m,com,5
1921-12-01,"Halldór Þorsteinsson",ISL,m,com,5
1921-12-01,"Einar H. Kvaran",ISL,m,art,5
1921-12-01,"C.O. Jensen",DNK,m,edu,4
1921-12-01,"Klemens Jónsson",ISL,m,gov,4
1921-12-01,"Johan Ferdinand Asberg",???,m,com,5
1921-12-01,"Þórunn Jónassen",ISL,f,pol,5
1921-12-01,"Finnur Jónsson",ISL,m,edu,4
1921-12-01,"Ágúst Flygenring",ISL,m,com,5
1921-12-01,"Ásgeir Sigurðsson",ISL,m,dip,4
1921-12-01,"Snæbjörn Kristjánsson",ISL,m,pol,5
1921-12-01,"Þórarinn Erlendur Tulinius",ISL,m,com,5
1921-12-01,"Thor Jensen",ISL,m,com,4
1921-12-01,"Jørgen Anton Christensen",DNK,m,edu,5
1921-12-01,"Haraldur Níelsson",ISL,m,edu,5
1921-12-01,"Pjetur Jónsson",ISL,m,pol,4
1921-12-01,"Eiríkur Briem",ISL,m,edu,4
1921-12-01,"Þorsteinn Gíslason",ISL,m,art,5
1921-12-01,"Jóhann Þorkelsson",ISL,m,cnc,5
1921-12-01,"Ágúst Helgason",ISL,m,com,5
1921-12-01,"Guðmundur Magnússon",ISL,m,edu,4
1921-12-01,"Jón Bergsson",ISL,m,com,5
1921-12-01,"Elín Briem Jónsson",ISL,f,edu,5
1922-03-03,"Arne Möller",DNK,m,cnc,5
1922-03-03,"Ragnar Lundborg",SWE,m,???,5
1922-03-03,"Robert Grant",GBR,m,com,5
1922-03-03,"Alfred Ralph Wagg",GBR,m,com,5
1922-03-03,"Aage Meyer Benedictsen",DNK,m,art,5
1922-06-19,"Sigurður Pjetursson Eggerz",ISL,m,pol,2
1922-06-21,"M. Gaetano Silvestri",ITA,m,gov,5
1922-06-21,"Aloisi Pompeo",ITA,m,dip,2
1922-06-21,"M. Schanzer",ITA,m,pol,2
1922-06-21,"M. Renato Luzi",ITA,m,gov,5
1922-07-10,"William Carlton Rothe",DNK,m,cnc,2
1922-07-10,"Thjodolf Klingenberg",NOR,m,dip,5
1922-07-10,"Alfred Blanche",FRA,m,dip,5
1922-07-10,"August Christiern Broberg",DNK,m,???,4
1922-07-10,"O.C.J.J.B. Scavenius",DNK,m,gov,2
1922-07-10,"Charles Lemmenf",FRA,m,edu,5
1922-07-10,"H.A. Bernhoft",DNK,m,dip,2
1922-07-10,"Olaf Bronn",NOR,m,com,5
1922-07-10,"Bienvenudo Calvo Hernandez",ESP,m,gov,5
1922-08-01,"H.F.C. Skeel",DNK,m,cnc,5
1922-08-01,"Halldór Daníelsson",ISL,m,mil,4
1922-08-01,"Guðmundur Björnsson",ISL,m,edu,4
1922-08-01,"Sæmundur Bjarnhjeðinsson",ISL,m,edu,5
1922-08-01,"Paul Herman Petrus Beyer",DNK,m,org,4
1922-08-01,"Sören Christian Christensen Hede",DNK,m,law,5
1922-08-01,"Sighvatur Kristján Bjarnason",ISL,m,com,5
1922-08-01,"Harriette Christine Kjær",DNK,f,edu,5
1922-09-05,"Herman Adriaan van Karnebeek",NLD,m,pol,2
1922-09-05,"V.C. Madsen",DNK,m,com,5
1922-11-01,"Jóhann P. Pjetursson",ISL,m,pol,5
1922-11-01,"Þorvaldur Arason",ISL,m,gov,5
1922-12-13,"Þórunn Björnsdóttir",ISL,f,edu,5
1922-12-13,"Sölfi Vigfússon",ISL,m,pol,5
1922-12-13,"Magnús Benjamínsson",ISL,m,com,5
1922-12-13,"Oddur C. Thorarensen",ISL,m,edu,5
1922-12-13,"Halldór Jónsson",ISL,m,gov,5
1922-12-13,"Knud Zimsen",ISL,m,pol,5
1922-12-13,"Sæmundur Halldórsson",ISL,m,com,5
1922-12-13,"Eyjólfur Guðmundsson",ISL,m,pol,5
1922-12-13,"Árni Ásgrímur Þorkelsson",ISL,m,pol,5
1922-12-13,"Emil Nielsen",ISL,m,com,5
1922-12-13,"Eggert Laxdal",ISL,m,com,5
1922-12-13,"Guðmundur Ásgeir Eiríksson",ISL,m,pol,5
1922-12-13,"Stefán Þorvaldur Jónsson",ISL,m,com,5
1922-12-13,"Jón Pjetur Hall",ISL,m,pol,5
1922-12-13,"Kristján Jónsson",ISL,m,law,2
1922-12-13,"Pjetur Oddsson",ISL,m,com,5
1922-12-13,"Magnús Bergmann",ISL,m,pol,5
1922-12-28,"Georg Lyngby Höst",DNK,m,gov,5
1923-03-19,"Henry William Archer",GBR,m,com,5
1923-03-19,"Alfred Winthe Johnston",GBR,m,org,5
1923-06-26,"Aasberg Johan Ferdinand",DNK,m,com,4
1923-06-29,"I. Beck-Friis",SWE,m,dip,2
1923-07-31,"William Borberg",DNK,m,gov,4
1923-07-31,"Christian Magdalus Thestru Cold",SWE,m,pol,2
1923-07-31,"Hjalmar Collin",DNK,m,gov,5
1923-08-06,"Eduard Lauritz Ehlers",DNK,m,edu,4
1923-08-06,"Frederik Valdemar Petersen",DNK,m,gov,4
1923-10-01,"Christophine Bjarnhjeðinsson",DNK,f,???,5
1923-10-16,"Páll Friðrik Vídalin Bjarnason",ISL,m,gov,5
1923-11-12,"Don Enrique Valera de Saavedra",ESP,m,dip,5
1923-11-12,"Don Rafael Lopez de Lago",ESP,m,gov,2
1923-11-12,"Don Vincent Gutierrez de Aguera",ESP,m,dip,2
1923-12-01,"Josep Sevell Larsen",DNK,m,com,5
1923-12-01,"Geir Tómasson Zoëga",ISL,m,edu,4
1923-12-01,"Friðrik Friðriksson",ISL,m,cnc,5
1923-12-01,"Hallgrímur Hallgrímsson",ISL,m,pol,5
1923-12-01,"Sveinbjörn Sveinbjörnsson",ISL,m,art,4
1923-12-01,"Emmanuel Briand de Crevecoeur",DNK,m,mil,5
1923-12-01,"Vilhjalmur Stefansson",CAN,m,edu,4
1923-12-01,"Brynjólfur Einarsson",ISL,m,pol,5
1923-12-01,"Friðrik Bjarnason",ISL,m,pol,5
1923-12-01,"Bjarni Sæmundsson",ISL,m,edu,5
1923-12-01,"Halldór Hermannsson",ISL,m,gov,5
1923-12-01,"Ólafur Finnsson",ISL,m,pol,5
1923-12-01,"Jóhannes Nordal",ISL,m,gov,5
1923-12-01,"Einar Leopold Damm",DNK,m,com,4
1923-12-01,"Claus Christian Clausen",DNK,m,com,4
1923-12-01,"Frederik Nörgaard",DNK,m,com,4
1923-12-01,"Oluf Christian Kragh",DNK,m,org,2
1924-01-19,"Age Kjær",GBR,m,com,5
1924-01-19,"Johannes Erhardt Böggild",DNK,m,dip,2
1924-02-05,"Per Faber",DNK,m,gov,5
1924-02-27,"A.Ferreira d'Almeida Carvalho",PRT,m,dip,2
1924-02-27,"Soares Anton Duarte de Oliveira",PRT,m,gov,2
1924-02-27,"Mads Peter Nielsen",DNK,m,com,5
1924-02-27,"Domingos Leite Pereira",PRT,m,pol,2
1924-05-07,"Poul Ulrich Michelsen",DNK,m,cnc,5
1924-05-07,"Eigil Boe Bramsen",DNK,m,com,5
1924-05-07,"Christopher Paus",NOR,m,cnc,4
1924-05-07,"Laurits Louis Zöllner",DNK,m,dip,5
1924-05-07,"Eward Th. Kjölbye",DNK,m,com,5
1924-05-12,"Carl Peter Mathias Hansen",DNK,m,gov,4
1924-05-12,"Axel Christian Bille-Hansen",DNK,m,pol,5
1924-07-02,"Heinrich Oscar Gunther Ellinger",DNK,m,edu,4
1924-07-02,"Ernst Johannes Schmidt",DNK,m,com,4
1924-07-02,"Westy Oddgeir Hilmar Stephensen",DNK,m,com,4
1924-09-24,"Jón Jóhannesson",ISL,m,com,5
1924-09-24,"Christopher Friedenreich Hage",DNK,m,pol,2
1924-09-24,"Halfdan Barfred Barfod",DNK,m,mil,5
1924-09-24,"Hjalmar Rechnitzer",DNK,m,mil,4
1924-10-17,"Johan Christ.Westergaard Kruse",DNK,m,dip,2
1924-10-17,"Pike Ward",GBR,m,com,5
1924-10-17,"Henry Eugen Bay",DNK,m,dip,4
1924-10-17,"Johan Henrik Rye Holmboe",NOR,m,pol,2
1924-12-01,"Carl Kuchler",DEU,m,edu,5
1924-12-01,"Hans Frederik Öllgaard",DNK,m,edu,5
1924-12-01,"Guðmundur Jónsson",ISL,m,com,5
1924-12-01,"Juho Heikki Vennola",FIN,m,edu,2
1924-12-01,"Peter Frederik Jensen",DNK,m,mil,5
1924-12-01,"Jón Ólafsson",ISL,m,com,5
1924-12-01,"Einar Jónsson",ISL,m,art,5
1924-12-01,"Jón Halldórsson",ISL,m,org,5
1924-12-01,"Knud Pagh",DNK,m,cnc,5
1924-12-01,"Paul Hermann",DEU,m,edu,5
1924-12-01,"Þórarinn Guðmundsson",ISL,m,com,5
1924-12-01,"Þórhallur Daníelsson",ISL,m,com,5
1924-12-01,"Runólfur Halldórsson",ISL,m,pol,5
1924-12-01,"Pjetur J. Thorsteinsson",ISL,m,com,5
1924-12-01,"Hjalmar Johan Procope",FIN,m,pol,2
1924-12-01,"Axel V. Tulinius",ISL,m,org,5
1924-12-01,"Viggo Valerius Thorsen Lange",DNK,m,gov,5
1924-12-01,"William A. Craigie",GBR,m,edu,5
1924-12-01,"Ólafur Eggertsson",ISL,m,pol,5
1924-12-01,"Ólafur Jóhannesson",ISL,m,dip,5
1924-12-01,"Jón Guðmundsson",ISL,m,pol,5
1924-12-01,"Heinrich Erkes",DEU,m,gov,5
1924-12-01,"Einar Jónsson",ISL,m,edu,5
1924-12-01,"Ingibjörg H. Bjarnason",ISL,f,edu,5
1924-12-10,"Alexander Skrzynski",POL,m,pol,2
1924-12-15,"Richard West",DNK,m,mil,5
1925-01-04,"Christen Iversen Mondrup",DNK,m,gov,4
1925-01-04,"Oluf Cecilius Hollnagel Jensen",DNK,m,gov,4
1925-01-31,"Holger Wiehe",DNK,m,edu,5
1925-01-31,"Henry Pattinson",GBR,m,dip,4
1925-03-09,"Job Thode Sommerschild",NOR,m,gov,4
1925-05-04,"Adam Poulsen",DNK,m,art,5
1925-07-13,"Ernst Sally Meyer",DNK,m,org,4
1925-07-13,"Christian Smith Dahl",DNK,m,org,4
1925-07-13,"Bjarne Nielsen",DNK,m,org,5
1925-07-24,"Emil Torp-Pedersen",DNK,m,gov,5
1925-11-02,"Arni Eggertsson",CAN,m,com,5
1925-11-02,"Tadeusz Romer",POL,m,dip,4
1925-11-02,"Thomas H. Johnson",CAN,m,pol,4
1925-12-03,"Marie Victoria",ISL,f,cnc,5
1925-12-03,"Borgþór Jósefsson",ISL,m,gov,5
1925-12-03,"Oluf C. Nielsen",DNK,m,com,5
1925-12-03,"William Martin Nygaard",NOR,m,art,5
1925-12-03,"Jóhann P. Jónsson",ISL,m,com,5
1925-12-03,"Olaf Hansen",DNK,m,art,5
1925-12-03,"Peter Daniel Bruun",DNK,m,mil,4
1925-12-03,"A.C. Rönne",DNK,m,com,5
1925-12-03,"Sigurður Sigurðsson",ISL,m,org,5
1925-12-03,"Indriði Einarsson",ISL,m,art,5
1925-12-03,"Páll Ólafsson",ISL,m,edu,5
1925-12-03,"Hans Jaden",AUT,m,???,5
1925-12-03,"Emil C. Hertz",DNK,m,com,5
1925-12-03,"Sigfús Blöndal",ISL,m,gov,5
1925-12-03,"Ólafur Rosenkranz",ISL,m,gov,5
1925-12-03,"Frederik Gad",DNK,m,org,5
1925-12-03,"Erick Struckmann",DNK,m,art,5
1926-01-06,"Sigurður Sigurðsson",ISL,m,gov,5
1926-01-06,"Olaf Elias Forberg",ISL,m,gov,4
1926-01-28,"Thure Frederik Krarup",DNK,m,pol,4
1926-06-22,"J.A. Thiele",DNK,m,mil,5
1926-06-22,"C.F.v.d. Hude",DNK,m,mil,5
1926-06-22,"Godfred Hansen",DNK,m,mil,4
1926-06-22,"C.T. Rosenstand",DNK,m,gov,5
1926-06-22,"V.C.A.O.G.A.baro Blixen-Finecke",DNK,m,cnc,2
1926-06-22,"Frederik Cold",DNK,m,mil,3
1926-06-22,"F. Grut",DNK,m,cnc,3
1926-06-22,"F. Jacobsen",DNK,m,mil,4
1926-06-22,"E.A. Bistrup",DNK,m,com,5
1926-06-22,"H.A.Ö. Bistrup",DNK,m,mil,5
1926-06-22,"C.J.E. Juel",DNK,m,cnc,2
1926-08-09,"A. Ussing",DNK,m,com,5
1926-08-09,"Sigurður Briem",ISL,m,gov,3
1926-08-09,"K.H. Christiani",DNK,m,gov,5
1926-08-09,"Kay Svenson",DNK,m,org,3
1926-08-09,"M.J.C. Gredsted",DNK,m,gov,4
1926-08-09,"Ivar Lauritz Sönder",DNK,m,gov,4
1926-08-09,"Jón Helgason",ISL,m,cnc,3
1926-09-24,"A.G. Topsöe-Jensen",DNK,m,gov,4
1926-09-24,"de Muckadell C.ba Schaffalitzky",DNK,m,mil,4
1926-10-06,"Christen Iversen Mondrup",DNK,m,gov,3
1926-10-06,"Thor Jensen",ISL,m,com,3
1926-10-06,"Hjalmar Rechnitzer",DNK,m,mil,3
1926-10-06,"Ásgeir Sigurðsson",ISL,m,dip,3
1926-10-06,"Einar Arnórsson",ISL,m,edu,3
1926-10-06,"Carl Peter Mathias Hansen",DNK,m,gov,3
1926-10-06,"Finnur Jónsson",ISL,m,edu,3
1926-10-06,"P.O.A. Andersen",DNK,m,gov,3
1926-10-06,"Job Thode Sommerschild",NOR,m,gov,3
1926-10-06,"Sveinn Björnsson",ISL,m,dip,3
1926-10-06,"Jón Krabbe",ISL,m,gov,3
1926-10-06,"Westy Oddgeir Hilmar Stephensen",DNK,m,com,3
1926-10-06,"Frederik Valdemar Petersen",DNK,m,gov,3
1926-10-06,"C.O. Jensen",DNK,m,edu,3
1926-10-06,"Heinrich Oscar Gunther Ellinger",DNK,m,edu,3
1926-10-06,"Jón Hjaltalín Sveinbjörnsson",ISL,m,gov,3
1926-10-06,"Olaf Elias Forberg",NOR,m,gov,3
1926-10-06,"Jóhannes Jóhannesson",ISL,m,gov,3
1926-10-06,"Einar Leopold Damm",DNK,m,com,3
1926-10-06,"Eduard Lauritz Ehlers",DNK,m,edu,3
1926-10-06,"Claus Christian Clausen",DNK,m,com,3
1926-10-06,"Henry Eugen Bay",NOR,m,dip,3
1926-10-06,"Klemens Jónsson",ISL,m,pol,3
1926-10-06,"Frederik Nörgaard",DNK,m,com,3
1926-10-06,"Christian Frederik Gjernals",DNK,m,mil,3
1926-10-06,"Eiríkur Briem",ISL,m,edu,3
1926-10-06,"Ernst Johannes Schmidt",DNK,m,???,3
1926-10-06,"Thure Frederik Krarup",DNK,m,pol,3
1926-10-06,"Niels Christensen Monberg",DNK,m,pol,3
1926-10-06,"Guðmundur Björnsson",ISL,m,edu,3
1926-10-06,"Carl Vilhelm Edvard Carstensen",DNK,m,mil,3
1926-10-07,"R. Numelin",DNK,m,dip,4
1926-10-07,"E.N. Setala",FIN,m,pol,2
1926-12-01,"Jón Sturlaugsson",ISL,m,com,5
1926-12-01,"Þóra Magnússon",ISL,f,pol,4
1926-12-01,"Valtýr Guðmundsson",ISL,m,edu,4
1926-12-01,"Emil Walter",CSK,m,dip,5
1926-12-01,"Björg Þorláksson",ISL,f,???,5
1926-12-01,"Þorsteinn Gíslason",ISL,m,???,5
1926-12-01,"Garðar Gíslason",ISL,m,org,5
1926-12-01,"Thorvald Madsen",DNK,m,com,4
1926-12-01,"Steingrímur Matthíasson",ISL,m,edu,5
1926-12-01,"Louis Dornonville de la Cour",FRA,m,mil,4
1926-12-01,"Guttormur Vigfússon",ISL,m,pol,5
1926-12-01,"Thor E. Tulinius",ISL,m,com,4
1926-12-01,"Halldór Vilhjálmsson",ISL,m,edu,5
1926-12-01,"Jean Baptiste Etienne A. Charcot",FRA,m,edu,4
1926-12-01,"Eggert Ólafur Briem",ISL,m,law,3
1926-12-01,"Macody Fr. Lund",NOR,m,art,5
1926-12-01,"Björn Guðmundsson",ISL,m,com,5
1926-12-01,"Þorstina Sigriður Jackson",USA,f,???,5
1926-12-01,"Martin Meulenberg",ISL,m,cnc,4
1926-12-01,"Davíð Scheving Thorsteinsson",ISL,m,edu,5
1926-12-01,"Margrjet Pjetursdóttir",ISL,f,org,5
1926-12-01,"Elín Stephensen",ISL,f,pol,4
1926-12-01,"Viggo Christiansen",DNK,m,edu,5
1926-12-01,"Einar Stefánsson",ISL,m,com,5
1926-12-01,"Katrín Magnússon",ISL,m,edu,4
1926-12-01,"Þórólfur Beck",ISL,m,com,5
1926-12-01,"Júlíus Júliníusson",ISL,m,com,5
1927-01-30,"Georg Gretor",DNK,m,art,5
1927-01-31,"Theodor August Jacobsen",NOR,m,com,5
1927-01-31,"A. Baalsrud",NOR,m,gov,4
1927-01-31,"L.B. Bolt-Jörgensen",DNK,m,gov,5
1927-01-31,"Lars Iversen",DNK,m,com,5
1927-01-31,"N. Nickelsen",NOR,m,gov,4
1927-01-31,"Leif Frithjof Halvorsen",NOR,m,art,5
1927-01-31,"Björn B. Jonsson",CAN,m,cnc,5
1927-04-22,"H.H.M. Borregaard",DNK,m,dip,4
1927-04-25,"E. Adolph",DNK,m,com,4
1927-04-25,"Thomas Nielsen",DNK,m,edu,5
1927-04-25,"Wilhelm Munthe",NOR,m,gov,5
1927-04-25,"Thor Odegard Omejer",NOR,m,dip,5
1927-04-25,"Lauge Albert Fanöe",DNK,m,com,5
1927-04-25,"S.T. Jespersen",DNK,m,dip,5
1927-04-25,"Aage Axel Emil Sachs",DNK,m,gov,5
1927-05-19,"Aage Böjesen",DNK,m,com,3
1927-06-13,"Lyder Deth Lydersen",DNK,m,com,5
1927-06-13,"Peder Viggo Frandsen",DNK,m,com,5
1927-06-13,"K.G. Idmann",FIN,m,dip,2
1927-06-13,"Carl Vilhelm Prytz",DNK,m,edu,4
1927-07-16,"Christ.Fred.Anton Hastrup Graae",DNK,m,gov,3
1927-07-16,"Ove Engell",DNK,m,gov,3
1927-08-23,"Jean Christian Eugine Werner",DNK,m,org,4
1927-08-23,"Wilhelm Peter Henning Hansen",DNK,m,com,3
1927-11-14,"Rögnvaldur Pjetursson",CAN,m,cnc,5
1927-11-14,"Knut Gjerset",USA,m,edu,5
1927-11-14,"Kort K. Kortsen",DNK,m,dip,5
1927-12-01,"Gustav Ekstedt",SWE,m,gov,5
1927-12-01,"Torleif Torkildsen",NOR,m,law,5
1927-12-01,"Ólafur Bergsveinsson",ISL,m,com,5
1927-12-01,"Magnús Helgason",ISL,m,edu,4
1927-12-01,"Júlíus Sigurðsson",ISL,m,com,5
1927-12-01,"Guðmundur Guðmundsson",ISL,m,edu,5
1927-12-01,"John McCan",GBR,m,???,5
1927-12-01,"Lárus H. Bjarnason",ISL,m,law,3
1927-12-01,"Henry Goddard Leach",USA,m,???,5
1927-12-01,"Guðmundur Pjetursson",ISL,m,com,5
1927-12-01,"Joseph Bunford Samuel",USA,m,com,5
1927-12-01,"Kristbjörg Jónatansdóttir",ISL,f,edu,5
1927-12-01,"Ragnar F. Ólafsson",ISL,m,dip,4
1927-12-01,"Hjörtur Líndal",ISL,m,pol,5
1927-12-30,"Fritz Johan Christian Hartmann",DNK,m,gov,5
1927-12-30,"C. Ejler Sörensen",DNK,m,org,5
1927-12-30,"Aksel Gerfalk",DNK,m,art,5
1927-12-30,"Johan Frederik Christian Hansen",DNK,m,dip,3
1928-01-23,"Sigrid Undset",NOR,f,art,5
1928-03-26,"Johanna Dybwad",NOR,f,art,5
1928-03-26,"Laurs Rasmus Laursen",DNK,m,gov,4
1928-03-26,"Kristian Sofus August Ersler",DNK,m,gov,2
1928-04-16,"Adrien V.J de Gerlache De Gomery",BEL,m,com,3
1928-04-16,"Paul Hymans",BEL,m,pol,2
1928-05-15,"Jens Johannes Jensen",DNK,m,dip,5
1928-05-15,"Paavo Paioiö Pajula",FIN,m,gov,4
1928-05-15,"Kaarle Heikki Kekori",FIN,m,gov,3
1928-05-15,"Juho Emil Sunila",FIN,m,pol,2
1928-05-19,"Henry Christian Gad",DNK,m,mil,4
1928-05-27,"Finnur Jónsson",ISL,m,edu,2
1928-06-28,"A.L.C. Engberg",DNK,m,org,5
1928-06-28,"Sören Christian Christensen Hede",DNK,m,law,4
1928-06-28,"H.F.C. Skeel",DNK,m,org,4
1928-07-16,"Frederik Carl Gram Schröder",DNK,m,gov,2
1928-07-16,"Henning August Österber Bistrup",DNK,m,mil,4
1928-07-16,"Holger Holm",SWE,m,dip,5
1928-07-16,"Anders Peter Jacobsen",DEU,m,gov,5
1928-07-16,"Johan Gustaf Adolf Af Jochnick",SWE,m,gov,2
1928-07-16,"Johan Chr. Heugh Wandall",DNK,m,law,5
1928-07-16,"Nils Hansson",SWE,m,edu,2
1928-07-16,"Svend Aage Gammeltoft",DNK,m,edu,4
1928-07-16,"Maurice Zephyr Rene Fiez-Vandal",FRA,m,dip,5
1928-07-16,"Risto Heikki Ryti",FIN,m,com,3
1928-07-16,"Johannes Peter Ahrent Je Lander",DNK,m,art,5
1928-07-16,"Erik Pontoppidan Kampmann",DNK,m,law,4
1928-07-16,"Nicolai Theodorius Nilssen Rygg",NOR,m,com,3
1928-07-16,"Vilhelm Larsen",DNK,m,edu,5
1928-07-16,"Rolf Thommessen",NOR,m,art,4
1928-07-16,"Eduard Reventlow",DNK,m,gov,2
1928-07-16,"Erik Sophus Adam Hauch",DNK,m,edu,4
1928-07-16,"Tage Bull",DNK,m,dip,4
1928-07-16,"Christian Vilhelm Fabricius",DNK,m,gov,5
1928-07-16,"Niels Bukh",DNK,m,com,5
1928-07-16,"Lars Frederikssen",DNK,m,edu,5
1928-07-16,"A. Chr. Brorsen",DNK,m,com,5
1928-07-16,"Anton Marius Theodor Westermann",DNK,m,edu,4
1928-07-16,"Axel E.H. Nielsen",DNK,m,edu,5
1928-08-27,"C.K. Austin",ITA,m,???,3
1928-08-27,"Carl Julius Otto Liebe",DNK,m,pol,2
1928-08-27,"Andre C. Courmont",FRA,m,???,3
1928-10-12,"Ernst Timm",DEU,m,gov,5
1928-10-12,"Ernst Brandenburg",DEU,m,gov,4
1928-10-12,"Siegert",DEU,m,mil,4
1928-10-12,"Walter Georgi",DEU,m,org,5
1928-10-12,"Fritz Simon",DEU,m,com,5
1928-10-12,"O.A. Jörgensen",DNK,m,org,5
1928-10-18,"Walter Richard",DEU,m,com,5
1928-12-01,"Sigurður Kristjánsson",ISL,m,com,5
1928-12-01,"Jóhannes Sigfússon",ISL,m,edu,5
1928-12-01,"Gísli J. Johnsen",ISL,m,dip,5
1928-12-01,"Sigurður H. Kvaran",ISL,m,edu,5
1928-12-01,"Páll Einarsson",ISL,m,mil,3
1928-12-01,"Ólafur Ólafsson",ISL,m,cnc,5
1928-12-01,"Frederik Carl Pontoppidan",DNK,m,mil,5
1928-12-01,"Laust Jensen Moltesen",DNK,m,pol,2
1928-12-01,"Martin Julius Ch.Theodor Clan",DNK,m,dip,2
1928-12-01,"Bríet Bjarnhéðinsdóttir",ISL,f,???,5
1928-12-01,"Valdimar O. Briem",ISL,m,cnc,4
1928-12-01,"Þórður Guðmundur Sveinbjörnsson",ISL,m,gov,4
1928-12-01,"Hálfdán Guðjónsson",ISL,m,cnc,5
1928-12-01,"Þorleifur Jónsson",ISL,m,gov,5
1928-12-01,"Eyvind M. Dahl",DNK,m,mil,5
1928-12-01,"W. Heydenreich",DEU,m,edu,5
1928-12-01,"Jón Sveinsson",ISL,m,art,5
1928-12-01,"Pjetur Jónsson",ISL,m,art,5
1928-12-01,"Wimburg",GBR,m,gov,5
1928-12-01,"Thomas Madsen-Mygdal",DNK,m,pol,2
1928-12-01,"Magnús Friðriksson",ISL,m,com,5
1928-12-01,"Lars Peter Elfelt",DNK,m,cnc,5
1928-12-01,"E.F.C. Björnow",DNK,m,cnc,5
1929-02-06,"H. Cahnbley",DNK,m,dip,5
1929-05-03,"Jose Garrido del Oro",ESP,m,gov,4
1929-05-03,"Don Joaquin Milans del Bosch",ESP,m,mil,2
1929-06-07,"Matthías Einarsson",ISL,m,edu,3
1929-06-26,"Oddur Rafnar",DNK,m,com,5
1929-07-10,"Laurits Louis Zöllner",DNK,m,dip,4
1929-07-10,"Willem Marinus van Rossum",ITA,m,cnc,2
1929-07-10,"Ole Peter Olsen",DNK,m,com,5
1929-07-10,"Wilhelm Klastersky",AUT,m,gov,3
1929-07-10,"Tönnes Christian Watne",NOR,m,com,5
1929-07-10,"Paul Winterstein",AUT,m,dip,4
1929-07-22,"George A. Zabriskie",USA,m,com,5
1929-07-22,"J.M. Drehmanns",ITA,m,gov,5
1929-07-22,"Max Gruner",DEU,m,edu,5
1929-08-30,"F.P. Pedersen",DNK,m,edu,3
1929-08-30,"H.J. Hannover",DNK,m,edu,4
1929-10-14,"Louis Bentzen",NOR,m,mil,5
1929-10-14,"Cai Tage Jespersen",DNK,m,dip,5
1929-10-14,"Schifferer",DEU,m,dip,4
1929-10-14,"Halfdan Enberg",DNK,m,dip,4
1929-10-14,"Ingimundur Eyjolfsson",NOR,m,art,5
1929-10-14,"Lucken",DEU,m,pol,4
1929-11-18,"O. Pade",DNK,m,mil,5
1929-11-18,"Knud Viggo Christiansen",DNK,m,edu,4
1929-11-18,"C.M. Kjær",DNK,m,dip,4
1929-11-18,"Carl Gustaf Abrahamson Forssell",SWE,m,edu,3
